d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Iter 0000 | Total Loss inf
Iter 2120 | Total Loss 259.969208
Iter 2160 | Total Loss 259.490601
Iter 2200 | Total Loss 259.715668
Iter 2240 | Total Loss 259.931030
Iter 2280 | Total Loss 259.680542
Iter 2320 | Total Loss 259.791901
Iter 2360 | Total Loss 260.512115
Iter 2400 | Total Loss 260.051270
Iter 2440 | Total Loss 260.023407
Iter 2480 | Total Loss 260.135559
Iter 2520 | Total Loss 260.048248
Iter 2560 | Total Loss 260.214996
Iter 2600 | Total Loss 260.165924
Iter 2640 | Total Loss 260.269135
Iter 2680 | Total Loss 260.871094
Iter 2720 | Total Loss 260.946869
Iter 2760 | Total Loss 260.261932
Iter 2800 | Total Loss 260.897125
Iter 2840 | Total Loss 260.764313
Iter 2880 | Total Loss 260.519806
Iter 2920 | Total Loss 261.258820
Iter 2960 | Total Loss 261.351624
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Iter 0000 | Total Loss 265.600433
Iter 0040 | Total Loss 272.874847
Iter 0080 | Total Loss 270.252594
Iter 0120 | Total Loss 267.969391
Iter 0160 | Total Loss 266.219879
Iter 0200 | Total Loss 264.632812
d:\work\work\lib\site-packages\torchdiffeq\_impl\misc.py:296: UserWarning: t is not on the same device as y0. Coercing to y0.device.
  warnings.warn("t is not on the same device as y0. Coercing to y0.device.")
Iter 0000 | Total Loss 266.398071
Iter 0040 | Total Loss 256.850922
Iter 0080 | Total Loss 255.697388
Iter 0120 | Total Loss 256.152130
Iter 0160 | Total Loss 255.453827
Iter 0200 | Total Loss 254.977417
Iter 0240 | Total Loss 255.140274
Iter 0280 | Total Loss 255.084976
Iter 0320 | Total Loss 255.031601
Iter 0360 | Total Loss 255.097534
Iter 0400 | Total Loss 255.249619
Iter 0440 | Total Loss 255.179459
Iter 0480 | Total Loss 255.062851
Iter 0520 | Total Loss 255.105606
Iter 0560 | Total Loss 254.872116
Iter 0600 | Total Loss 254.542938
Iter 0640 | Total Loss 254.577972
Iter 0680 | Total Loss 254.317749
Iter 0720 | Total Loss 254.395370
Iter 0760 | Total Loss 254.424606
Iter 0800 | Total Loss 254.761185
Iter 0840 | Total Loss 254.506622
Iter 0880 | Total Loss 254.664490
Iter 0920 | Total Loss 254.346710
Iter 0960 | Total Loss 254.492416
Iter 1000 | Total Loss 254.411713
Iter 1040 | Total Loss 254.201492
Iter 1080 | Total Loss 253.883850
Iter 1120 | Total Loss 253.869492
Iter 1160 | Total Loss 253.844711
Iter 1200 | Total Loss 254.105286
Iter 1240 | Total Loss 254.164993
Iter 1280 | Total Loss 253.744705
Iter 1320 | Total Loss 254.014877
Iter 1360 | Total Loss 253.388596
Iter 1400 | Total Loss 253.966949
Iter 1440 | Total Loss 253.793976
Iter 1480 | Total Loss 253.804657
Iter 1520 | Total Loss 253.876099
Iter 1560 | Total Loss 254.125000
Iter 1600 | Total Loss 253.926575
Iter 1640 | Total Loss 253.620438
Iter 1680 | Total Loss 253.615707
Iter 1720 | Total Loss 253.859207
Iter 1760 | Total Loss 253.866409
Iter 1800 | Total Loss 254.023407
Iter 1840 | Total Loss 253.423203
Iter 1880 | Total Loss 253.548416
Iter 1920 | Total Loss 253.689331
Iter 1960 | Total Loss 253.364456
Iter 2000 | Total Loss 253.326645
Iter 2040 | Total Loss 253.350708
Iter 2080 | Total Loss 253.087875
Iter 2120 | Total Loss 253.660873
Iter 2160 | Total Loss 253.596085
Iter 2200 | Total Loss 253.595993
Iter 2240 | Total Loss 253.084869
