d:\work\work\lib\site-packages\torch\nn\modules\loss.py:536: UserWarning: Using a target size (torch.Size([8, 4, 3])) that is different to the input size (torch.Size([8, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
C:\Users\jagpr\AppData\Local\Temp\ipykernel_18652\980383283.py:20: UserWarning: Using a target size (torch.Size([5000, 1, 3])) that is different to the input size (torch.Size([4996, 4, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  loss = F.mse_loss(pred, data)
Epoch [1/10], Loss: 83.2875
Epoch [1/10], Loss: 82.2061
Epoch [1/10], Loss: 81.1457
Epoch [1/10], Loss: 80.1285
Epoch [1/10], Loss: 79.1299
Epoch [1/10], Loss: 78.1447
Epoch [1/10], Loss: 77.1919
Epoch [1/10], Loss: 76.2382
Epoch [1/10], Loss: 75.3191
Epoch [1/10], Loss: 74.4137
Epoch [1/10], Loss: 73.5171
Epoch [1/10], Loss: 72.6540
Epoch [1/10], Loss: 71.8172
Epoch [1/10], Loss: 71.0033
Epoch [1/10], Loss: 70.2392
Epoch [1/10], Loss: 69.4881
Epoch [1/10], Loss: 68.7453
Epoch [1/10], Loss: 68.0443
Epoch [1/10], Loss: 67.3478
Epoch [1/10], Loss: 66.6576
Epoch [1/10], Loss: 65.9832
Epoch [1/10], Loss: 65.3230
Epoch [1/10], Loss: 64.6618
Epoch [1/10], Loss: 64.0205
Epoch [1/10], Loss: 63.3897
Epoch [1/10], Loss: 62.7786
Epoch [1/10], Loss: 62.1882
Epoch [1/10], Loss: 61.6074
Epoch [1/10], Loss: 61.0451
Epoch [1/10], Loss: 60.4919
Epoch [1/10], Loss: 59.9490
Epoch [1/10], Loss: 59.4038
Epoch [1/10], Loss: 58.8645
Epoch [1/10], Loss: 58.3476
Epoch [1/10], Loss: 57.8394
Epoch [1/10], Loss: 57.3472
Epoch [1/10], Loss: 56.8650
Epoch [1/10], Loss: 56.3943
Epoch [1/10], Loss: 55.9215
Epoch [1/10], Loss: 55.4644
Epoch [1/10], Loss: 55.0214
Epoch [1/10], Loss: 54.5926
Epoch [1/10], Loss: 54.1797
Epoch [1/10], Loss: 53.7808
Epoch [1/10], Loss: 53.4024
Epoch [1/10], Loss: 53.0313
Epoch [1/10], Loss: 52.6778
Epoch [1/10], Loss: 52.3268
Epoch [1/10], Loss: 51.9710
Epoch [1/10], Loss: 51.6308
Epoch [1/10], Loss: 51.3085
Epoch [1/10], Loss: 50.9984
Epoch [1/10], Loss: 50.7002
Epoch [1/10], Loss: 50.4069
Epoch [1/10], Loss: 50.1135
Epoch [1/10], Loss: 49.8248
Epoch [1/10], Loss: 49.5404
Epoch [1/10], Loss: 49.2678
Epoch [1/10], Loss: 49.0046
Epoch [1/10], Loss: 48.7559
Epoch [1/10], Loss: 48.5177
Epoch [1/10], Loss: 48.2852
Epoch [1/10], Loss: 48.0598
Epoch [1/10], Loss: 47.8391
Epoch [1/10], Loss: 47.6385
Epoch [1/10], Loss: 47.4467
Epoch [1/10], Loss: 47.2601
Epoch [1/10], Loss: 47.0853
Epoch [1/10], Loss: 46.9119
Epoch [1/10], Loss: 46.7360
Epoch [1/10], Loss: 46.5636
Epoch [1/10], Loss: 46.3945
Epoch [1/10], Loss: 46.2247
Epoch [1/10], Loss: 46.0545
Epoch [1/10], Loss: 45.8713
Epoch [1/10], Loss: 45.6943
Epoch [1/10], Loss: 45.5201
Epoch [1/10], Loss: 45.3457
Epoch [1/10], Loss: 45.1734
Epoch [1/10], Loss: 45.0063
Epoch [1/10], Loss: 44.8308
Epoch [1/10], Loss: 44.6529
Epoch [1/10], Loss: 44.4713
Epoch [1/10], Loss: 44.2924
Epoch [1/10], Loss: 44.1227
Epoch [1/10], Loss: 43.9589
Epoch [1/10], Loss: 43.7976
Epoch [1/10], Loss: 43.6401
Epoch [1/10], Loss: 43.4884
Epoch [1/10], Loss: 43.3458
Epoch [1/10], Loss: 43.2087
Epoch [1/10], Loss: 43.0696
Epoch [1/10], Loss: 42.9341
Epoch [1/10], Loss: 42.7954
Epoch [1/10], Loss: 42.6646
Epoch [1/10], Loss: 42.5302
Epoch [1/10], Loss: 42.4036
Epoch [1/10], Loss: 42.2789
Epoch [1/10], Loss: 42.1630
Epoch [1/10], Loss: 42.0533
Epoch [1/10], Loss: 41.9380
Epoch [1/10], Loss: 41.8211
Epoch [1/10], Loss: 41.6979
Epoch [1/10], Loss: 41.5829
Epoch [1/10], Loss: 41.4673
Epoch [1/10], Loss: 41.3576
Epoch [1/10], Loss: 41.2498
Epoch [1/10], Loss: 41.1434
Epoch [1/10], Loss: 41.0442
Epoch [1/10], Loss: 40.9538
Epoch [1/10], Loss: 40.8685
Epoch [1/10], Loss: 40.7884
Epoch [1/10], Loss: 40.7146
Epoch [1/10], Loss: 40.6452
Epoch [1/10], Loss: 40.5795
Epoch [1/10], Loss: 40.5101
Epoch [1/10], Loss: 40.4437
Epoch [1/10], Loss: 40.3765
Epoch [1/10], Loss: 40.3050
Epoch [1/10], Loss: 40.2337
Epoch [1/10], Loss: 40.1604
Epoch [1/10], Loss: 40.0863
Epoch [1/10], Loss: 40.0073
Epoch [1/10], Loss: 39.9263
Epoch [1/10], Loss: 39.8487
Epoch [1/10], Loss: 39.7724
Epoch [1/10], Loss: 39.6959
Epoch [1/10], Loss: 39.6258
Epoch [1/10], Loss: 39.5537
